FID,Lat,Lng,Perception Safety,Rural/Urban,Q2 Enclosure,Q3 Human scale,Q4 Diversity/Complexity,Q5 Averall/Better
76,55.680083,12.544207,7.886283562,1,5.856042439,5.962677801,5.449761411,6.23872375
77,55.679969,12.544694,7.119761197,1,6.23755541,6.261806129,6.628478648,5.852558415
78,55.674675,12.532202,6.819339109,1,5.182036189,5.344839921,4.228768324,5.473602484
79,55.674188,12.532088,6.066584525,1,3.933217063,4.430777479,5.311630493,5.948314108
80,55.673705,12.531961,5.975813567,1,4.927694208,4.866174968,5.79909099,5.473047915
81,55.673221,12.531834,6.176298796,1,4.97638253,4.982755914,4.157201801,5.803016859
82,55.672737,12.531707,5.787796502,1,4.614490226,3.82725557,4.095496381,5.039004732
83,55.672256,12.531574,7.534737188,1,5.611510791,5.636889185,5.52024363,6.352965099
84,55.671778,12.531425,7.632697094,1,5.171135819,5.287234457,7.121563011,7.016784975
85,55.671301,12.531276,7.542141719,1,6.945716154,6.353051569,4.848091115,5.249556344
86,55.670824,12.531127,5.470292794,1,4.636654313,3.936804775,2.934360988,5.214988169
87,55.670343,12.530988,7.564920586,1,5.442555047,6.568679759,5.420213146,5.836475895
88,55.669863,12.530849,7.24089562,1,5.611510791,6.604935391,3.968270847,5.739426205
89,55.669383,12.53071,7.472358216,1,5.171499164,5.85662752,3.644029687,5.90856995
90,55.668903,12.530571,7.590555206,1,5.896010464,6.312621276,3.634643142,6.547434191
91,55.668422,12.530432,7.314191894,1,4.817963811,4.829348487,4.798901779,6.067916297
92,55.667945,12.530285,6.685546579,1,4.947314875,4.918308273,5.594558954,6.394557823
93,55.677639,12.533056,8.301792557,1,6.9460795,5.828990729,3.719544206,5.925022183
94,55.677157,12.532925,7.333753331,1,6.950439648,6.054298611,5.193472599,5.649216208
95,55.676674,12.532795,5.71977653,1,3.933217063,4.626491905,5.110345388,6.311926945
96,55.676194,12.532655,7.449913515,1,5.906910835,5.395208651,4.567674344,5.629251701
97,55.675715,12.532513,5.786083768,1,4.413196715,4.115725835,4.601902225,4.940291334
98,55.675235,12.532373,5.88257214,1,4.616306954,5.247320454,3.929076329,5.38006507
99,55.671122,12.545921,6.679576076,1,6.390160599,6.929681702,6.012347403,5.273033126
100,55.670689,12.546023,5.180381053,1,5.455998837,6.074967751,5.803666395,4.985396332
101,55.670249,12.545785,5.098238666,1,5.160235448,5.357760427,5.90475584,5.060448092
102,55.669809,12.545548,5.397078352,1,4.450984667,5.017622633,5.973645502,5.251774623
103,55.669368,12.545314,6.994130381,1,4.379768912,6.11642108,4.995836125,4.884649512
104,55.668923,12.545085,6.415874715,1,4.300922898,6.035940513,5.233645389,5.097234546
105,55.66849,12.544835,6.86656628,1,5.033064458,5.40791975,6.921082363,5.419254658
106,55.668061,12.544579,6.16379973,1,5.305210377,5.477025,5.814380304,5.43847974
107,55.667192,12.544085,8.062973089,1,5.566092581,5.858080355,4.812573803,5.723713398
108,55.66676,12.543832,6.651640559,1,5.44400843,5.200475769,5.370884991,5.648291925
109,55.666329,12.543579,5.771094725,1,4.414650098,5.380778267,6.721279132,5.418700089
110,55.6659,12.543323,4.520020775,1,3.10442555,4.270451,6.050109471,4.835292813
111,55.66548,12.543051,6.560894881,1,5.352808662,5.516394973,6.453893749,5.578601006
112,55.665054,12.54279,5.558388054,1,3.446697188,3.25685135,3.548124133,4.821798285
113,55.664618,12.542544,7.054428142,1,5.029067655,6.398088781,5.737608769,5.598935226
114,55.664178,12.542308,5.971036556,1,3.427076521,4.819529884,6.211878499,5.307971014
115,55.672618,12.549979,6.01462782,1,5.795363709,6.213267732,5.840269726,5.148624667
116,55.665052,12.548172,6.905931982,1,4.817963811,5.488478247,5.39477627,6.439662822
117,55.665226,12.547703,6.278182435,1,3.160380786,5.040010012,6.551943183,4.752292221
118,55.665339,12.547217,6.644800596,1,5.094833224,6.216831741,6.093503465,5.231255546
119,55.665452,12.546729,6.222712643,1,5.795363709,6.588613659,5.733300686,5.011461106
120,55.665543,12.546238,6.671720763,1,3.312622629,4.703446498,5.930688917,4.785936114
121,55.665619,12.545744,6.624130299,1,4.129060388,4.344576936,5.848669112,4.899253179
122,55.665695,12.545249,6.202079593,1,6.108931037,6.618696971,5.146619747,4.507727004
123,55.665771,12.544755,6.974726768,1,5.094833224,5.468524486,6.292976371,5.061557232
124,55.66584,12.54426,6.824350234,1,6.108931037,6.632703637,6.254013474,4.895186335
125,55.665909,12.543765,7.206723242,1,5.723421263,5.402987034,7.10901075,5.121635611
126,55.666027,12.542772,7.128028536,1,4.99491316,6.19668933,5.025100559,5.838694173
127,55.66608,12.542275,5.912447182,1,3.939030594,3.978268235,3.373106277,5.237725525
128,55.666139,12.541778,7.390930547,1,5.085749582,5.835018018,3.993833869,6.082889678
129,55.666198,12.541282,7.272900413,1,4.943318073,5.725444284,5.994906713,6.647626442
130,55.666256,12.540785,7.324307512,1,5.557008938,5.926384122,6.246478074,6.475524993
131,55.666374,12.539792,6.899332578,1,5.820797907,5.825379325,6.361478292,5.491718426
132,55.678127,12.533166,6.33181297,1,4.357604825,4.12940055,4.214008366,5.91929163
133,55.678613,12.533283,6.311295028,1,5.094833224,5.84804287,6.04188404,5.328490092
134,55.679098,12.533406,5.954481307,1,3.427076521,4.775652971,5.941228047,4.96302869
135,55.679577,12.533548,6.584616787,1,4.450984667,5.055745725,6.621005146,5.207039337
136,55.680056,12.533691,6.786747438,1,3.791512245,5.9678031,6.480409729,5.076345756
137,55.680533,12.533842,6.796213459,1,5.622411162,6.832091634,5.111393942,5.376922508
138,55.681006,12.534002,5.977167504,1,4.026596904,4.002298931,5.96160801,4.732327714
139,55.68144,12.534243,6.844938697,1,4.847758157,4.720827811,6.778090543,5.241792369
140,55.681797,12.53459,6.464230653,1,4.988736284,5.341206268,5.889484163,5.129214729
141,55.682124,12.534969,6.23574973,1,5.795363709,6.586307356,5.724656579,4.995748299
142,55.682447,12.53535,6.528684124,1,5.670736138,6.658489875,5.250871861,5.20260278
143,55.682778,12.535725,6.194277738,1,5.305210377,5.915046871,6.408643247,5.333296362
144,55.683103,12.536105,5.573423632,1,4.847758157,5.173814526,7.063671249,5.328305235
145,55.678798,12.547528,6.885157978,1,5.255432018,4.835753765,6.621895575,4.993530021
146,55.678682,12.548015,6.985727324,1,5.795363709,5.756007072,6.284390396,4.964322686
147,55.678566,12.548501,6.225648752,1,4.321270257,4.431365207,6.830433496,4.717724046
148,55.678453,12.548988,6.183945754,1,4.211539859,4.39323846,2.9507065,5.674911269
149,55.678343,12.549476,6.956973365,1,5.783373301,5.108326705,6.542676258,5.556233363
150,55.678233,12.549964,6.317561045,1,5.305210377,5.900552144,6.047012917,5.44328601
151,55.67812,12.550451,6.11184549,1,3.533900153,4.517253593,6.284316552,4.420289855
152,55.678016,12.55094,5.678126021,1,4.194099266,3.91462716,7.059391138,4.400325347
153,55.677921,12.551431,6.36396057,1,6.466463193,6.196904975,5.819147911,4.869306418
